ano,id_municipio,expectativa_anos_estudo,taxa_analfabetismo_15_a_17,taxa_atraso_0_medio,taxa_freq_bruta_medio,taxa_freq_15_17,indice_gini,idhm_e,idhm_l,idhm_r
2010,1501204,8.19,5.32,66.96,63.6,87.55,0.53,0.467,0.77,0.538
2010,1501253,7.8,4.1,65.82,36.56,70.32,0.62,0.42,0.784,0.635
2010,1501303,8.93,2.44,56.72,86.96,88.1,0.55,0.564,0.801,0.643
2010,1501402,9.64,1.45,68.58,91.47,87.24,0.61,0.673,0.822,0.751
2010,1501451,9.05,1.88,51.58,54.48,85.85,0.58,0.478,0.775,0.548
2010,1501501,9.42,2.13,58.12,75.06,83.73,0.48,0.592,0.798,0.623
2010,1501576,7.35,3.56,66.33,60.04,76.49,0.52,0.437,0.777,0.601
2010,1501600,7.52,7.74,54.2,57.37,79.63,0.5,0.398,0.77,0.531
2010,1501709,9.31,3.93,51.7,59.88,81.59,0.58,0.486,0.755,0.589
2010,1501725,8.68,5.28,72.26,69.47,69.61,0.67,0.451,0.809,0.632
2010,1501758,8.38,2.98,60.28,57.03,75.85,0.57,0.473,0.743,0.588
2010,1501782,8.03,3.95,64.89,45.48,79.86,0.53,0.422,0.781,0.555
2010,1501808,6.54,9.37,56.53,45.9,76.98,0.58,0.312,0.778,0.524
2010,1501907,7.65,4.47,70.41,63.15,81.55,0.52,0.437,0.779,0.495
2010,1501956,6.67,9.65,57.95,27.64,66.83,0.58,0.303,0.779,0.449
2010,1502004,7.07,4.59,62.48,65.32,76.04,0.6,0.398,0.778,0.525
2010,1502103,8.58,3.16,60.17,70.68,86.17,0.58,0.474,0.754,0.538
2010,1502152,9.35,2.59,66.24,73.75,90.86,0.55,0.569,0.801,0.67
2010,1502202,9.6,2.78,63.29,82.82,85.87,0.53,0.58,0.794,0.61
2010,1502301,7.93,5.64,52.1,49.62,82.32,0.62,0.385,0.747,0.573
2010,1502400,9.91,1.81,59.16,77.06,86.19,0.54,0.582,0.8,0.654
2010,1502509,4.95,12.34,77.79,29.78,63.32,0.67,0.234,0.769,0.516
2010,1502608,9.5,1.85,48.85,78.37,89.24,0.56,0.528,0.763,0.541
2010,1502707,9.31,2.62,70.09,78.05,84.57,0.54,0.54,0.77,0.631
2010,1502756,7.89,5.43,39.49,54.87,84.38,0.5,0.438,0.741,0.56
2010,1502764,6.97,13.05,64.27,30.84,62.63,0.64,0.33,0.795,0.635
2010,1502772,9.43,2.67,63.0,80.08,87.98,0.54,0.536,0.809,0.592
2010,1502806,7.05,10.18,49.57,33.9,76.85,0.57,0.323,0.769,0.508
2010,1502855,8.94,3.92,66.59,72.29,83.55,0.6,0.495,0.78,0.501
2010,1502905,8.16,2.45,62.61,71.33,87.0,0.56,0.48,0.758,0.542
2010,1502939,8.46,2.39,65.39,67.87,77.18,0.52,0.502,0.763,0.606
2010,1502954,7.99,4.55,66.5,40.29,78.01,0.57,0.405,0.757,0.572
2010,1503002,8.1,2.37,48.79,53.06,81.78,0.56,0.47,0.756,0.501
2010,1503044,7.98,4.11,63.46,47.36,77.37,0.62,0.437,0.792,0.573
2010,1503077,7.0,11.03,40.73,45.8,80.6,0.55,0.353,0.763,0.54
2010,1503093,7.3,5.79,55.65,43.17,64.96,0.54,0.404,0.743,0.585
2010,1503101,6.23,7.59,51.73,54.83,81.13,0.56,0.333,0.777,0.51
2010,1503200,8.47,3.85,63.66,61.64,82.77,0.56,0.49,0.743,0.579
2010,1503309,7.27,6.97,52.68,57.79,79.53,0.53,0.413,0.77,0.514
2010,1503408,8.27,3.07,39.05,61.44,85.2,0.52,0.456,0.748,0.55
2010,1503457,6.21,5.88,47.87,54.89,63.78,0.57,0.304,0.757,0.508
2010,1503507,8.19,3.95,41.39,56.16,87.26,0.58,0.427,0.763,0.536
2010,1503606,8.6,2.29,50.23,70.6,77.72,0.57,0.51,0.8,0.644
2010,1503705,7.08,6.1,55.39,42.14,76.47,0.62,0.364,0.746,0.543
2010,1503754,5.91,7.5,26.07,33.73,82.9,0.69,0.279,0.8,0.577
2010,1503804,8.09,2.9,67.59,66.7,74.51,0.59,0.509,0.752,0.628
2010,1503903,9.03,2.35,44.68,62.01,83.26,0.59,0.501,0.756,0.547
2010,1504000,7.79,4.43,45.79,49.59,82.83,0.58,0.425,0.754,0.493
2010,1504059,7.71,3.87,67.68,51.48,77.76,0.58,0.458,0.763,0.615
2010,1504109,8.66,3.16,47.0,67.38,87.63,0.54,0.507,0.801,0.524
2010,1504208,8.53,3.12,67.67,71.95,79.66,0.58,0.564,0.785,0.673
2010,1504307,8.49,2.49,55.53,77.11,83.37,0.59,0.454,0.764,0.534
2010,1504406,9.16,2.82,62.88,80.96,89.55,0.54,0.521,0.76,0.57
2010,1504422,9.2,1.47,57.93,101.46,86.4,0.42,0.628,0.793,0.621
2010,1504455,7.81,3.1,67.08,48.51,71.38,0.61,0.408,0.8,0.605
2010,1504505,5.51,17.79,45.86,16.32,64.92,0.55,0.207,0.776,0.454
2010,1504604,8.07,3.33,60.78,70.92,82.76,0.58,0.467,0.754,0.539
2010,1504703,7.26,6.39,56.27,54.09,77.02,0.63,0.375,0.757,0.578
2010,1504802,8.8,2.89,64.34,57.18,82.79,0.59,0.495,0.764,0.541
2010,1504901,7.8,3.68,50.45,63.64,77.89,0.56,0.391,0.775,0.54
2010,1504950,6.53,9.26,42.35,39.52,72.8,0.63,0.346,0.757,0.482
2010,1504976,7.73,4.14,62.8,37.94,74.52,0.59,0.435,0.766,0.59
2010,1505007,8.72,3.85,43.63,69.28,90.45,0.52,0.507,0.791,0.564
2010,1505031,8.52,0.93,62.37,51.81,73.48,0.54,0.519,0.828,0.709
2010,1505064,6.82,5.82,63.7,39.88,68.69,0.59,0.376,0.741,0.557
2010,1505106,8.89,3.59,66.99,58.1,78.03,0.59,0.499,0.756,0.556
2010,1505205,7.46,8.12,47.41,47.04,89.03,0.56,0.344,0.754,0.502
